id,discipline_course_id,prerequisite_discipline_id,created_at
57cbb04d-f10a-4b37-9780-641af31e0a68,4d129bb8-2401-4c16-852b-c116a22ce89e,0be59bf4-7b69-4cd8-985f-0e0c559244d6,2023-08-10 01:15:55.386265
ff279ef5-60b7-48c6-8712-8ba03afb801f,4d129bb8-2401-4c16-852b-c116a22ce89e,f2f1de6c-5697-4c7f-b5b6-70a288bb9752,2023-08-10 01:15:55.386265
44e4bb49-8cee-457f-bcbf-f127703a8818,8f4074ae-2c7d-43be-a7a9-32d8063710a3,f2f1de6c-5697-4c7f-b5b6-70a288bb9752,2023-08-10 01:15:55.386265
cc722777-555b-4ad2-ae19-cdf3d25b19f1,29578d99-db3d-4386-97d1-1b8142c2cd72,0be59bf4-7b69-4cd8-985f-0e0c559244d6,2023-08-10 01:15:55.386265
c7d82bbf-62c8-46b7-88c7-26e734b48581,29578d99-db3d-4386-97d1-1b8142c2cd72,f2f1de6c-5697-4c7f-b5b6-70a288bb9752,2023-08-10 01:15:55.386265
b5fbbd2a-f318-4407-823a-2b5b9210532e,23e129b7-d57a-4265-bc25-a5ee53d3bbb7,ffc88920-2ca3-470c-b949-9f48ca0697bd,2023-08-10 01:15:55.386265
6a1befa7-3a81-4a04-9a47-0db840381451,b52007e5-7ec7-418d-9876-3d08a358965c,3002c96f-dd41-41e5-89f7-ab0edeb4fe96,2023-08-10 01:15:55.386265
40ea0fe6-1f5f-4d0d-8a6c-652868776656,a3341a51-16c4-492e-baec-81adf25d12af,3002c96f-dd41-41e5-89f7-ab0edeb4fe96,2023-08-10 01:15:55.386265
0fd8a9e4-c301-4f0b-85cb-d01a5500a6cb,ab96d3b3-945a-499c-97ed-b84cf0f4a980,89715bac-a877-4c17-8ff3-b996ef4a40f6,2023-08-10 01:15:55.386265
3f92b999-13ab-49d0-afd4-f64bf555d071,ab96d3b3-945a-499c-97ed-b84cf0f4a980,5da3f81f-d74b-47b6-a171-9d64b39570b9,2023-08-10 01:15:55.386265
7e9cfd03-cb02-4abf-9e3f-892de7c8ab01,ab96d3b3-945a-499c-97ed-b84cf0f4a980,3002c96f-dd41-41e5-89f7-ab0edeb4fe96,2023-08-10 01:15:55.386265
500a6999-62f0-426a-bc9e-1be9e7470881,ab96d3b3-945a-499c-97ed-b84cf0f4a980,01800025-3d51-4808-a205-6c663aebb096,2023-08-10 01:15:55.386265
1c504eb8-136b-4fcb-9eb5-7b161ff95336,9a07474c-2007-42f8-b36e-45037480e686,ffc88920-2ca3-470c-b949-9f48ca0697bd,2023-08-10 01:15:55.386265
51721f9f-e48b-47ae-ad1f-0c122e36357c,aeefae3a-c4df-42af-bcc4-9cac7e2cc9a8,ffc88920-2ca3-470c-b949-9f48ca0697bd,2023-08-10 01:15:55.386265
f9d03a7f-cb32-4b3b-a76f-8e669b2e2895,8e368565-531f-42ef-bb9a-8a4af36e318b,89715bac-a877-4c17-8ff3-b996ef4a40f6,2023-08-10 01:15:55.386265
22acbadc-0159-4017-bea5-4e1516f4de19,8e368565-531f-42ef-bb9a-8a4af36e318b,5da3f81f-d74b-47b6-a171-9d64b39570b9,2023-08-10 01:15:55.386265
d0923d37-09fa-429e-b70a-49c02731b81b,8e368565-531f-42ef-bb9a-8a4af36e318b,3002c96f-dd41-41e5-89f7-ab0edeb4fe96,2023-08-10 01:15:55.386265
d28cdafe-81c1-4df3-b253-a186af73bc58,8e368565-531f-42ef-bb9a-8a4af36e318b,409cbf47-617d-4c9e-8e1e-946c1d9d0009,2023-08-10 01:15:55.386265
6a1f686d-f7ac-42b2-aed6-142068d90f4e,8e368565-531f-42ef-bb9a-8a4af36e318b,01800025-3d51-4808-a205-6c663aebb096,2023-08-10 01:15:55.386265
e98f1c33-63de-44dd-a3c5-fd54bc508126,8f15eea2-5d0f-411c-b970-2282fc99576b,86b1bdb5-57aa-4d00-8249-2fe6a3ec4099,2023-08-10 01:15:55.386265
54e6494b-3631-4f4c-bf62-690c6ff48bf8,8f15eea2-5d0f-411c-b970-2282fc99576b,6453aa68-44c1-4e49-be79-1b7d94e7f661,2023-08-10 01:15:55.386265
362078a1-3248-414f-b371-5a5a8d94fc5f,090cb1bd-dbd9-43ee-9d3c-ce6cb832a570,86b1bdb5-57aa-4d00-8249-2fe6a3ec4099,2023-08-10 01:15:55.386265
fac858e7-3e67-4b8e-9893-15fec8ad9ced,768bb292-4305-46ad-aad5-f4725c1cd53e,e6f1f1e9-3eb1-4a79-b70c-478d0bdfcf43,2023-08-10 01:15:55.386265
51dbb6af-46a4-48e2-a8fa-b3d36d2ca2d7,768bb292-4305-46ad-aad5-f4725c1cd53e,165ced84-7377-4e72-a8ea-3877e62cdac8,2023-08-10 01:15:55.386265
1f6fcf37-235c-44f5-b980-66c56f859140,944cd3b8-d9e8-41cb-9eb5-53f371eb66cb,b96cc1c2-062d-4c66-a937-5f8cdf89a12c,2023-08-10 01:15:55.386265
c9f475c6-b879-4708-befb-a26d30eb0fa1,944cd3b8-d9e8-41cb-9eb5-53f371eb66cb,165ced84-7377-4e72-a8ea-3877e62cdac8,2023-08-10 01:15:55.386265
be389035-27b7-4d9b-9631-a8071e782ced,80c02384-e623-4ecc-ab45-97ae08a702e3,a6279bb7-8d35-4d24-89b8-5c72b48502cb,2023-08-10 01:15:55.386265
e4972d05-b9d2-4a51-8d75-0852259f9dcf,80c02384-e623-4ecc-ab45-97ae08a702e3,86b1bdb5-57aa-4d00-8249-2fe6a3ec4099,2023-08-10 01:15:55.386265
